DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,2018,24700,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,2019,25800,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,2020,24690,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,2021,27240,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,2022,28860,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Cyprus,2023,29150,p
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,1995,10320,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,1996,10770,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,1997,10720,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,1998,10690,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,1999,10850,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2000,11290,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2001,11680,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2002,11880,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2003,12270,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2004,12850,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2005,13630,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2006,14490,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2007,15200,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2008,15430,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2009,14610,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2010,14970,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2011,15260,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2012,15130,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2013,15130,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2014,15470,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2015,16230,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2016,16640,
ESTAT:TIPSNA40(1.0),20/12/24 11:00:00,Annual,"Chain linked volumes (2015), euro per capita",Gross domestic product at market prices,Czechia,2017,17490,
