"Country","Country code","Survey year","Prevalence (%)","Substance","Recall period","Age","Sample size","Males (%)","Females (%)"
"Cyprus","CY",2022,0.5,"Cocaine","Last month","All adults (15-64)",3510,0.9,0.1
"Cyprus","CY",2022,0.8,"Cocaine","Last month","Young adults (15-34)",1540,1.4,0.3
"Cyprus","CY",2022,0.9,"Amphetamines","Lifetime","All adults (15-64)",3510,1.2,0.7
"Cyprus","CY",2022,1.8,"Amphetamines","Lifetime","Young adults (15-34)",1540,2,1.5
"Cyprus","CY",2022,0.5,"Amphetamines","Last year","All adults (15-64)",3510,0.6,0.3
"Cyprus","CY",2022,0.9,"Amphetamines","Last year","Young adults (15-34)",1540,1.3,0.5
"Cyprus","CY",2022,0.3,"Amphetamines","Last month","All adults (15-64)",3510,0.5,0.2
"Cyprus","CY",2022,0.6,"Amphetamines","Last month","Young adults (15-34)",1540,1,0.3
"Cyprus","CY",2022,2.4,"Ecstasy","Lifetime","All adults (15-64)",3510,3.7,1.2
"Cyprus","CY",2022,3.7,"Ecstasy","Lifetime","Young adults (15-34)",1540,5.5,1.9
"Cyprus","CY",2022,0.9,"Ecstasy","Last year","All adults (15-64)",3510,1.5,0.3
"Cyprus","CY",2022,1.8,"Ecstasy","Last year","Young adults (15-34)",1540,2.9,0.5
"Cyprus","CY",2022,0.7,"Ecstasy","Last month","All adults (15-64)",3510,1.3,0.1
"Cyprus","CY",2022,1.4,"Ecstasy","Last month","Young adults (15-34)",1540,2.3,0.3
"Cyprus","CY",2022,1.5,"LSD","Lifetime","All adults (15-64)",3510,2,0.9
"Cyprus","CY",2022,2.5,"LSD","Lifetime","Young adults (15-34)",1540,3.1,2
"Cyprus","CY",2022,0.4,"LSD","Last year","All adults (15-64)",3510,0.6,0.2
"Cyprus","CY",2022,0.8,"LSD","Last year","Young adults (15-34)",1540,1.1,0.5
"Cyprus","CY",2022,0.3,"LSD","Last month","All adults (15-64)",3510,0.5,0.1
"Cyprus","CY",2022,0.5,"LSD","Last month","Young adults (15-34)",1540,0.8,0.1
"Cyprus","CY",2022,80.3,"Alcohol","Lifetime","All adults (15-64)",3510,87.5,73.3
"Cyprus","CY",2022,85.6,"Alcohol","Lifetime","Young adults (15-34)",1540,87.8,83.4
"Cyprus","CY",2022,74.4,"Alcohol","Last year","All adults (15-64)",3510,82.9,66.1
"Cyprus","CY",2022,80.8,"Alcohol","Last year","Young adults (15-34)",1540,83.7,77.7
"Cyprus","CY",2022,60.6,"Alcohol","Last month","All adults (15-64)",3510,71.8,49.7
"Cyprus","CY",2022,68,"Alcohol","Last month","Young adults (15-34)",1540,72.4,63.4
"Cyprus","CY",2022,57.8,"Tobacco","Lifetime","All adults (15-64)",3510,70.5,45.6
"Cyprus","CY",2022,59.9,"Tobacco","Lifetime","Young adults (15-34)",1540,69.6,49.7
"Cyprus","CY",2022,39.1,"Tobacco","Last year","All adults (15-64)",3510,49.7,28.8
"Cyprus","CY",2022,45.1,"Tobacco","Last year","Young adults (15-34)",1540,55.6,34.2
"Cyprus","CY",2022,38.1,"Tobacco","Last month","All adults (15-64)",3510,48.5,28
"Cyprus","CY",2022,43.8,"Tobacco","Last month","Young adults (15-34)",1540,54.2,32.9
"Czechia","CZ",2020,29.9,"Cannabis","Lifetime","All adults (15-64)",2701,38.2,21.3
"Czechia","CZ",2020,44.1,"Cannabis","Lifetime","Young adults (15-34)",927,56.7,30.8
"Czechia","CZ",2020,11.1,"Cannabis","Last year","All adults (15-64)",2701,15.9,6.2
"Czechia","CZ",2020,22.9,"Cannabis","Last year","Young adults (15-34)",927,31.9,13.3
"Czechia","CZ",2020,6.8,"Cannabis","Last month","All adults (15-64)",2701,10.8,2.6
"Czechia","CZ",2020,13.9,"Cannabis","Last month","Young adults (15-34)",927,22.1,5.3
"Czechia","CZ",2020,2.7,"Cocaine","Lifetime","All adults (15-64)",2701,3.8,1.4
"Czechia","CZ",2020,4.5,"Cocaine","Lifetime","Young adults (15-34)",927,6.5,2.4
"Czechia","CZ",2020,0.9,"Cocaine","Last year","All adults (15-64)",2701,1.3,0.5
"Czechia","CZ",2020,1.8,"Cocaine","Last year","Young adults (15-34)",927,2.7,0.9
"Czechia","CZ",2020,0.1,"Cocaine","Last month","All adults (15-64)",2701,0.1,0.2
"Czechia","CZ",2020,0.3,"Cocaine","Last month","Young adults (15-34)",927,0.2,0.4
"Czechia","CZ",2020,3.4,"Amphetamines","Lifetime","All adults (15-64)",2701,4.9,1.9
"Czechia","CZ",2020,6.1,"Amphetamines","Lifetime","Young adults (15-34)",927,8.8,3.3
"Czechia","CZ",2020,0.9,"Amphetamines","Last year","All adults (15-64)",2701,1.3,0.5
"Czechia","CZ",2020,2,"Amphetamines","Last year","Young adults (15-34)",927,2.7,1.3
"Czechia","CZ",2020,0.3,"Amphetamines","Last month","All adults (15-64)",2701,0.6,0
"Czechia","CZ",2020,0.6,"Amphetamines","Last month","Young adults (15-34)",927,1.3,0
"Czechia","CZ",2020,9.1,"Ecstasy","Lifetime","All adults (15-64)",2701,12.1,6
"Czechia","CZ",2020,18.6,"Ecstasy","Lifetime","Young adults (15-34)",927,24.2,12.6
"Czechia","CZ",2020,1.9,"Ecstasy","Last year","All adults (15-64)",2701,2.5,1.1
"Czechia","CZ",2020,4.7,"Ecstasy","Last year","Young adults (15-34)",927,6.3,3.1
