"Country","City","Metabolite","Current estimate (mg/1000p/day)","Previous estimate (mg/1000p/day)","Year current estimate","Year previous estimate","Percentage change","Change evaluation","Site ID","Location","latitude","longitude","Population served by facility","Institution","website"
"DE","Nuremberg","methamphetamine",167.89,132.41,2023,2022,26.8,"increase","DE028","Nürnberg","49.452102","11.076665",445593,"Clinical Pharmacology TU Dresden","N/A"
"CZ","Ostrava","methamphetamine",614.44,922.26,2023,2022,-33.4,"decrease","CZ004","ÚČOV Ostrava","49.833864","18.281034",250000,"T.G.Masaryk Water Research Institute","N/A"
"CY","Paphos","methamphetamine",16.54,16.53,2023,2022,0.1,"stable","CY007","Sewage Borad of Pafos","34.775853627551825","32.4215949998929",125616,"Magda Psichoudaki - Nireas IWRC","N/A"
"FR","Paris Seine Centre","methamphetamine",34.37,0,2023,2021,Inf,"increase","FR005","Seine Centre","48.95","2.27",411831,"Mario Negri Institute","N/A"
"SK","Piestany","methamphetamine",227.95,151.15,2023,2021,50.8,"increase","SK004","Piestany","48.5918007","17.8019009",35000,"University of South Bohemia in České Budejovice - Vodňany","N/A"
"CZ","Plzeň","methamphetamine",317.82,,2023,,,"no previous data","CZ005","ČOV Plzeň","49.73945","13.37329",178677,"T.G.Masaryk Water Research Institute","N/A"
"PT","Porto","methamphetamine",0,0,2023,2022,,"stable","PT003","Porto","41.157944","-8.629105",150000,"USC","N/A"
"CZ","Prague NVL","methamphetamine",320.88,599.53,2023,2022,-46.5,"decrease","CZ007","ÚČOV Praha","50.0763","14.43952",760000,"T.G.Masaryk Water Research Institute","N/A"
"AT","Purgstall","methamphetamine",6.39,3.35,2023,2022,90.7,"increase","AT013","GAV Erlauftal","48.057812","15.13545",11000,"Medical University Innsbruck","N/A"
"AT","Region Millstättersee","methamphetamine",0,0,2023,2022,,"stable","AT011","Wasserverband Millstaettersee","46.81924","13.52146",76000,"Medical University Innsbruck","N/A"
"LV","Riga","methamphetamine",21.39,167.97,2023,2022,-87.3,"decrease","LV001","Riga","56.94965","24.105186",619703,"Toxicological Centre","N/A"
"NL","Rotterdam (2)","methamphetamine",12.37,,2023,,,"no previous data","NL006","Rotterdam Kralingseveer; Rotterdam Dokhaven","51.92288","4.47847",612912,"N/A","N/A"
"DE","Saarbrücken (2)","methamphetamine",1.61,0,2023,2022,Inf,"increase","DE030","Brebach; Burbach","49.240157","6.996933",203643,"IFT Institut für Therapieforschung","www.ift.de/index.php"
"AT","Salzburg","methamphetamine",3.1,2.22,2023,2022,39.6,"increase","AT014","ARA Siggerwiesen","47.811195","13.033229",424000,"Medical University Innsbruck","N/A"
"ES","Santiago","methamphetamine",0,1.56,2023,2022,-100,"decrease","ES007","Silvouta","42.88","-8.54",136500,"IAQBUS","N/A"
"AT","Steyr","methamphetamine",19.66,24.68,2023,2022,-20.3,"decrease","AT015","Reinhaltungsverband Steyr und Umgebung","48.050090","14.41827",81000,"Medical University Innsbruck","N/A"
"AT","Strass im Zillertal","methamphetamine",3.74,10.75,2023,2022,-65.2,"decrease","AT016","AIZ Abwasserverband","47.395748","11.82211",129000,"Medical University Innsbruck","N/A"
"EE","Tallinn","methamphetamine",1.63,27.41,2023,2022,-94.1,"decrease","EE005","AS Tallinna Vesi","59.436962","24.753574",480000,"Estonian Forensic Science Institute","N/A"
"FI","Tampere","methamphetamine",7.35,14.24,2023,2022,-48.4,"decrease","FI024","Viinikanlahti","61.49","23.77",2e+05,"THL/Forensic Toxicology","N/A"
"EE","Tartu","methamphetamine",10.27,,2023,,,"no previous data","EE006","AS Tartu Veevärk","58.37701748878817","26.7297981416611",1e+05,"Estonian Forensic Science Institute","N/A"
"FI","Turku","methamphetamine",5.68,21.05,2023,2022,-73,"decrease","FI025","Kakolanmäki","60.44","22.24",3e+05,"THL/Forensic Toxicology","N/A"
"SE","Uppsala","methamphetamine",0.89,2.54,2023,2021,-65,"decrease","SE008","Kungsängsverket","59.858562","17.638927",2e+05,"SLU","N/A"
"NL","Utrecht","methamphetamine",4.92,6.86,2023,2022,-28.3,"decrease","NL009","RWZI Utrecht","52.0858002","5.1308398",274188,"KWR Water Research Institute","N/A"
"ES","Valencia (3)","methamphetamine",2.01,8.12,2023,2019,-75.2,"decrease","ES009","Pinedo I; Pinedo II; Quart-Benager","39.46","-0.33",1471771,"Research Institute for Pesticides and Water, University Jaume I","www.uji.es/institucional/estructura/instituts/iupa/?urlRedirect=http://www.uji.es/institucional/estructura/instituts/iupa/&url=/institucional/estructura/instituts/iupa/"
"SI","Velenje","methamphetamine",0,0,2023,2022,,"stable","SI007","Central wastewater treatment plant Šaleške Doline (Šalek Valley)","46.362274","15.110658",32583,"Jožef Stefan Institute, Environmental department, Laboratory for organic analysis","N/A"
"LT","Vilnius","methamphetamine",4.28,6.95,2023,2022,-38.4,"decrease","LT003","Vilniaus vandenys","54.687156","25.279651",576727,"Toxicological Centre","N/A"
"SE","Växjö","methamphetamine",0.22,0.31,2023,2022,-29,"decrease","SE009"," Sundets ARV","56.858257","14.761215",75042,"RISE","N/A"
"AT","Wasserverband Hofsteig","methamphetamine",1,3.38,2023,2022,-70.4,"decrease","AT003","ARA Hofsteig","47.4852","9.6762",123000,"Medical University Innsbruck","N/A"
"AT","Wien","methamphetamine",20.81,28.05,2023,2022,-25.8,"decrease","AT017","Hauptkläranlage Wien","48.210033","16.363449",3132000,"Medical University Innsbruck","N/A"
"AT","Wiener Neustadt","methamphetamine",31.58,31.03,2023,2022,1.8,"stable","AT018","AWV Wr. Neustadt-Süd","47.802790","16.23318",136000,"Medical University Innsbruck","N/A"
"AT","Wildon","methamphetamine",8.29,6.69,2023,2022,23.9,"increase","AT019","Abwasserverband Grazerfeld","46.885708","15.518532",75000,"Medical University Innsbruck","N/A"
"HR","Zagreb","methamphetamine",0,0,2023,2022,,"stable","HR001","Central wastewater treatment plant of the city of Zagreb ","45.7929993","15.9463997",650000,"IUPA","N/A"
"CZ","České Budějovice","methamphetamine",592.33,507.33,2023,2021,16.8,"increase","CZ002","UCOV CB","48.96","14.46",110000,"FFPW USB","N/A"
